name,latitude,longitude
Ambanja,-13.6829,48.4500
Antsiranana,-12.2765,49.3115
Miandrivazo,-19.5162,45.4666
Mananjary,-21.2167,48.3333
Morombe,-21.7391,43.3657
Toliara,-23.3568,43.6900
Manja,-21.4329,44.3333
Fianarantsoa,-21.4333,47.0833
Androka,-25.0219,44.0749
Bekiy,-24.2162,45.3166
Antsirabe,-19.8500,47.0333
Antsohihy,-14.8661,47.9834
Maintirano,-18.0666,44.0167
Ambatondrazaka,-17.8329,48.4167
Farafangana,-22.8166,47.8332
Ihosy,-22.3996,46.1167
Morondava,-20.2833,44.2833
Tôlanaro,-25.0268,46.9900
Sambava,-14.2662,50.1666
Majuro,7.1030,171.3800
Vevčani,41.2406,20.5933
Kočani,41.9164,22.4128
Staro Nagoričane,42.1981,21.8286
Radoviš,41.6383,22.4647
Sopište,41.9547,21.4275
Petrovec,41.9389,21.6150
Bosilovo,41.4406,22.7278
Zrnovci,41.8542,22.4444
Gradsko,41.5775,21.9428
Lipkovo,42.1564,21.5853
Lozovo,41.7839,21.9056
Plasnica,41.4672,21.1231
Aračinovo,42.0264,21.5619
Studeničani,41.9158,21.5306
Resen,41.0893,21.0109
Bogovinje,41.9236,20.9136
Vinica,41.8828,22.5092
Belčišta,41.3028,20.8303
Mogila,41.1083,21.3786
Veles,41.7156,21.7756
Kavadarci,41.4331,22.0119
Kumanovo,42.1322,21.7144
Ohrid,41.1172,20.8019
Strumica,41.4375,22.6433
Makedonski Brod,41.5136,21.2153
Rostuša,41.6100,20.6000
Struga,41.1780,20.6778
Čučer-Sandevo,42.1020,21.3846
Novo Selo,41.4149,22.8816
Zelenikovo,41.8841,21.5885
Star Dojran,41.1865,22.7203
Skopje,42.0000,21.4335
Štip,41.7423,22.1979
Makedonska Kamenica,42.0208,22.5876
Ilinden,41.9945,21.5800
Demir Hisar,41.2210,21.2030
Želino,41.9825,21.0624
Prilep,41.3451,21.5550
Bitola,41.0391,21.3395
Krivogaštani,41.3369,21.3311
Kruševo,41.3694,21.2483
Vasilevo,41.4741,22.6430
Gostivar,41.7960,20.9082
Vrapčište,41.8344,20.8856
Novaci,41.0420,21.4587
Čaška,41.6487,21.6922
Kratovo,42.0784,22.1807
Probištip,42.0019,22.1728
Debar,41.5244,20.5242
Centar Župa,41.4788,20.5586
Rosoman,41.5167,21.9458
Jegunovce,42.0724,21.1237
Demir Kapija,41.4061,22.2463
Negotino,41.4846,22.0906
Konče,41.4951,22.3836
Dolneni,41.4258,21.4540
Sveti Nikole,41.8667,21.9411
Valandovo,41.3174,22.5600
Kičevo,41.5127,20.9589
Delčevo,41.9654,22.7763
Tetovo,42.0092,20.9701
Češinovo,41.8715,22.2896
Karbinci,41.8176,22.2353
Tearce,42.0767,21.0531
Kriva Palanka,42.2009,22.3324
Rankovce,42.1686,22.1166
Pehčevo,41.7623,22.8892
Gevgelija,41.1417,22.5014
Bogdanci,41.2031,22.5756
Berovo,41.7031,22.8578
Brvenica,41.9672,20.9808
Aguelhok,19.4549,0.8564
Bamako,12.6500,-8.0000
Kidal,18.4411,1.4078
Bourem,16.9004,-0.3500
Mopti,14.4900,-4.1800
Gao,16.2666,-0.0500
Satadougou,12.6170,-11.4066
Koulikoro,12.8833,-7.5500
Sikasso,11.3204,-5.6800
Araouane,18.9000,-3.5300
Ségou,13.4400,-6.2600
Timbuktu,16.7666,-3.0166
Markala,13.6704,-6.0700
Taoudenni,22.6666,-3.9834
Kayes,14.4500,-11.4400
Sokolo,14.7337,-6.1333
Kita,13.0504,-9.4833
Nara,15.1800,-7.2800
Kati,12.7504,-8.0800
Kangaba,11.9404,-8.4400
San,13.3004,-4.9000
Bougouni,11.4204,-7.4900
Koutiala,12.3904,-5.4700
Djenné,13.9000,-4.5500
Yélimané,15.1337,-10.5666
Bafoulabé,13.8004,-10.8200
Nioro du Sahel,15.2304,-9.5900
Goundam,16.4170,-3.6666
Ménaka,15.9167,2.4000
Tessalit,20.2014,1.0888
Banamba,13.5504,-7.4500
Rangoon,16.7834,96.1667
Allanmyo,19.3783,95.2279
Mudon,16.2618,97.7215
Mawlamyine,16.5004,97.6700
Phyarpon,16.2933,95.6829
Labutta,16.1619,94.7014
Dawei,14.0980,98.1950
Myeik,12.4541,98.6115
Ye,15.2533,97.8679
Namtu,23.0837,97.4000
Hinthada,17.6483,95.4679
Thongwa,16.7547,96.5193
Bago,17.3200,96.5150
Pathein,16.7704,94.7500
Yandoon,17.0433,95.6429
Wakema,16.6133,95.1829
Pyay,18.8165,95.2114
Chauk,20.9085,94.8230
Myitkyina,25.3596,97.3928
Monywa,22.1050,95.1500
Naypyidaw,19.7666,96.1186
Loikaw,19.6650,97.2060
Yaynangyoung,20.4615,94.8810
Kyaukphyu,19.4290,93.5494
Magway,20.1445,94.9196
Shwebo,22.5783,95.6929
Sagaing,21.8800,95.9620
Myingyan,21.4618,95.3914
Pakokku,21.3320,95.0866
Mandalay,21.9700,96.0850
Taunggyi,20.7820,97.0380
Pyu,18.4779,96.4379
Taungoo,18.9483,96.4179
Letpadan,17.7819,95.7415
Sittwe,20.1400,92.8800
Pa-an,16.8500,97.6167
Hakha,22.6500,93.6167
Olgiy,48.9337,89.9500
Mandalgovi,45.7500,106.2660
Ulaanbaatar,47.9167,106.9166
Mörön,49.6453,100.1544
Darhan,49.6167,106.3500
Erdenet,49.0533,104.1183
Uliastay,47.7500,96.8167
